categorie,rang,favoris_par_jour,favoris,age_jours,prix,marque,etat,titre,url
Hommes › Accessoires,7,152.0,76,0.27,5.0,Punk,Neuf sans étiquette,Pointe avec vis,https://www.vinted.fr/items/9713649068-pointe-avec-vis
Hommes › Accessoires,8,146.0,73,0.25,20.0,The North Face,Très bon état,Chapeau the North Face noir,https://www.vinted.fr/items/9713961479-chapeau-the-north-face-noir
Hommes › Accessoires,9,132.0,66,0.35,24.95,kingsley,Neuf sans étiquette,Tasche Vintage Leder Reisetasche,https://www.vinted.fr/items/9712409222-tasche-vintage-leder-reisetasche
Hommes › Accessoires,10,124.0,181,1.46,20.0,Inconnu,Très bon état,Bracelet italien charms,https://www.vinted.fr/items/9699769739-bracelet-italien-charms
Hommes › Accessoires,11,124.0,62,0.32,45.0,Ray-Ban,Très bon état,Lunettes de soleil Ray-Ban - Modèle Highstreet MS RB 3003 - Excellent état,https://www.vinted.fr/items/9689377554-lunettes-de-soleil-ray-ban-modele-highstreet-ms-rb-3003-excellent-etat
Hommes › Accessoires,12,120.0,60,0.2,6.0,Herlaine,Neuf avec étiquette,Casquette homme,https://www.vinted.fr/items/9714539223-casquette-homme
Hommes › Accessoires,13,110.0,55,0.2,7.0,Herlaine,Neuf avec étiquette,Casquette homme,https://www.vinted.fr/items/9714522561-casquette-homme
Hommes › Accessoires,14,106.0,53,0.41,7.0,,Neuf sans étiquette,Collier,https://www.vinted.fr/items/9711136357-collier
Hommes › Accessoires,15,106.0,53,0.4,22.0,Fjällräven,Très bon état,Fjällräven kånken rucksack,https://www.vinted.fr/items/9711320016-fjallraven-kanken-rucksack
Sport › Sports de raquette,1,238.0,119,0.47,198.0,Polène,Très bon état,Polène pruuni nahast käekott,https://www.vinted.fr/items/9710073078-polene-pruuni-nahast-kaekott
Sport › Sports de raquette,2,90.4,47,0.52,20.0,Decathlon,Neuf sans étiquette,Ensemble badminton décathlon,https://www.vinted.fr/items/9709205935-ensemble-badminton-decathlon
Sport › Sports de raquette,3,80.0,40,0.29,45.0,Head,Neuf avec étiquette,🎾 Raquette HEAD Speed Junior 25” 💙,https://www.vinted.fr/items/9713384340-raquette-head-speed-junior-25
